Amount,EV,Max_Spread
1439.7357459999998,0.1,-7.0
1675.373599,0.1,-7.5
1988.5953270000005,0.1,-8.0
1982.065481000001,0.1,-8.5
2060.09492,0.1,-9.0
2174.4275889999994,0.1,-9.5
2265.927540999999,0.1,-10.0
2342.377885,0.1,-10.5
2492.698309999999,0.1,-11.0
2609.195818999999,0.1,-11.5
2609.195818999999,0.1,-12.0
2612.8145059999997,0.1,-12.5
2640.9931690000003,0.1,-13.0
2733.359645,0.1,-13.5
2850.7159230000007,0.1,-14.0
2909.278992000001,0.1,-14.5
2909.278992000001,0.1,-15.0
2909.278992000001,0.1,-15.5
2909.278992000001,0.1,-16.0
2909.278992000001,0.1,-16.5
2988.7315400000025,0.1,-17.0
3018.309750000003,0.1,-17.5
3018.309750000003,0.1,-18.0
3018.309750000003,0.1,-18.5
3018.309750000003,0.1,-19.0
3018.309750000003,0.1,-19.5
