key,date,H/A,team,opp_team,pinnacle_line,pinnacle_odds,5dimes_line,5dimes_odds,heritage_line,heritage_odds,bovada_line,bovada_odds,betonline_line,betonline_odds,bet365_line,bet365_odds,bodog_line,bodog_odds
20090927_Miami_San Diego,20090927,away,Miami,San Diego,+5.5,-105,+5.5,-108,,,+6,-115,+5.5,-110,,,+5.5,-110
20090927_Miami_San Diego,20090927,home,San Diego,Miami,-5.5,-103,-5.5,-102,,,-6,-105,-5.5,-110,,,-5.5,-110
20090927_Pittsburgh_Cincinnati,20090927,away,Pittsburgh,Cincinnati,-3.5,+109,-3,-122,,,-4,-105,-3.5,-110,,,-3.5,+105
20090927_Pittsburgh_Cincinnati,20090927,home,Cincinnati,Pittsburgh,+3.5,-118,+3,+112,,,+4,-115,+3.5,-110,,,+3.5,-125
20090927_Indianapolis_Arizona,20090927,away,Indianapolis,Arizona,+3,+101,+3,-103,,,+2.5,+110,+3,-105,,,+3,-105
20090927_Indianapolis_Arizona,20090927,home,Arizona,Indianapolis,-3,-109,-3,-107,,,-2.5,-130,-3,-115,,,-3,-115
20090928_Carolina_Dallas,20090928,away,Carolina,Dallas,+9,-114,+8.5,-108,,,+9,-115,+8.5,-110,,,+8,-110
20090928_Carolina_Dallas,20090928,home,Dallas,Carolina,-9,+105,-8.5,-102,,,-9,-105,-8.5,-110,,,-8,-110
20091004_Detroit_Chicago,20091004,away,Detroit,Chicago,+9.5,+106,+10,-105,,,+10,-115,+10,-110,,,+10,-115
20091004_Detroit_Chicago,20091004,home,Chicago,Detroit,-9.5,-115,-10,-105,,,-10,-105,-10,-110,,,-10,-105
20091004_Cincinnati_Cleveland,20091004,away,Cincinnati,Cleveland,-6,-107,-6,-108,,,-7,-105,-6.5,-110,,,-6,-110
20091004_Cincinnati_Cleveland,20091004,home,Cleveland,Cincinnati,+6,-101,+6,-102,,,+7,-115,+6.5,-110,,,+6,-110
20091004_Oakland_Houston,20091004,away,Oakland,Houston,+9,-120,+7.5,+100,,,+9,-115,+8,-110,,,+8,-110
20091004_Oakland_Houston,20091004,home,Houston,Oakland,-9,+111,-7.5,-110,,,-9,-105,-8,-110,,,-8,-110
20091004_Seattle_Indianapolis,20091004,away,Seattle,Indianapolis,+10,-104,+10.5,-109,,,+10.5,-115,+10,-110,,,+10,-110
20091004_Seattle_Indianapolis,20091004,home,Indianapolis,Seattle,-10,-104,-10.5,-101,,,-10.5,-105,-10,-110,,,-10,-110
20091004_N.Y. Giants_Kansas City,20091004,away,N.Y. Giants,Kansas City,-9,+100,-9,-105,,,-9.5,-115,-9,-110,,,-9,-110
20091004_N.Y. Giants_Kansas City,20091004,home,Kansas City,N.Y. Giants,+9,-108,+9,-105,,,+9.5,-105,+9,-110,,,+9,-110
